,category,text
713,кредитная карта,какая кредитная карта без оплаты годового и прочего обслуживания в первый и последующие годы нужна обычная для безналичных расчетов с суммой кредита до 50 тыс клиент bankname имею дебетовую зарплатную карту num
714,благодарность,большая благодарность name name name доп офис num отделение bankname ул большая дмитровка num москва за оперативную помощь и быстрое решение вопроса обращение tr date в 11 30
715,претензия,date года мною было направлено обращение в bankname россии калининградское отделение num по адресу г калининград ул name name д 49 до настоящего времени ответа на данное обращение не поступало прошу дать ответ на мое обращение
716,отключение рекламных рассылок,акц аудиотеле num со слов клиента мне на телефон num поступают сообщения с номера num с предложением оформить кредит я желаю что бы данные сообщения мне не поступали просьба урегулировать данную ситуацию
717,консультация,добрый день я являюсь гражданином украины проживающий в name области нахожусь и работаю в москве трудоустроен не официально есть регистрация могу ли я оформить и получить кредитную карту в вашем bankname
718,мобильный bankname,при попытки перевести деньги на с карты bankname на карту bankname приходит сообщения о name что мобильный bankname заблокирован получатель name name num date time последние цифры num
719,неработоспособность ус,акц комфортел num регион установки ус дагестан республика город населенный пункт город махачкала адрес проспект р name дом 64 место установки num характер поломки не работает не совершаются операции вопрос клиента
720,bankname онлайн,date с моей карты num и лицевого счета были списаны деньги в размере num 53 и num руб через bankname онлайн данную операцию я не совершала в bankname онлайн не входила прошу разобраться куда и кем были списаны деньги с моих счетов
721,претензия,с моей карты num date списались денежные средства в размере num рублей прошу разобраться в name ситуации и зачислить денежные средства мне на карту а так же дать официальный ответ куда списались денежные средства
722,мобильный bankname,добрый день пришло смс с инфо о полученном заявлении об отключении мобильного bankname на тел num сообщаю что я никаких заявлений не подавала name name name
723,получение информации,добрый день хочу открыть вклад в долларах в отделении bankname в городе муравленко янао смогу ли я снять с этого вклада деньги также в долларах в другом городе россии без дополнительных комиссий заранее благодарна за ответ
724,жалоба,мне нужны были платежные поручения для обращения в суд по алиментным выплатам от бывшего супруга два дня похода в отделение в г name успехом не увенчались
725,возврат денежных средств,прошу вернуть мне денежные средства в размере num 00 руб в течение 3 рабочих дней связи со сбоем работы bankname в соответствии с моей претензией от date во вложении
726,жалоба,по единому телефону num оператор не предоставил сведения о режиме работы офиса по адресу г новосибирск пр name 2 не знают что по данному адресу расположен bankname обращалась date в num
727,консультация,1 можно ли взять вторичку без первночального взноса 2 если можно какая ставка 3 можно ли позже продать ипотечную квартиру с целью покупки другой по больше
728,жалоба связана с услугой мобильный bankname,акц комфортел num регион республика дагестан населенный пункт кезляр вопрос клиента на номер телефона приходят смс сообщения по операциям с чужой картой возможно подключен мобильный bankname по чужой карте
729,вопрос,привет я продал товар на авито мне перевели деньги на карту может ли этот человек который мне их перевел написать заявление и отменить свой перевод без моего ведома и согласия даже если он в заявлении напишет ошибочный перевод спасибо
730,причина кто наложил арест,дата подачи документов на снятие наложение ареста date вопрос клиента причина кто наложил арест клиент желает уточнить данную информацию обращается в третий раз
731,возврат денежных средств,date в time 22 вносил денежные средства на tr через терминал num в размере num рублей но на чеке после внесения суммы показывает другую tr рублей прошу вас разобраться с name ситуацией и вернуть мне деньги на карту
732,претензия,был кредит досрочно погашен в num г списали денежные средства num 74 руб в счет погашения кредита на данный момент кредитов в bankname нет прошу вернуть деньги на карту
733,причина кто наложил арест,акц комфортел num всп bankname в котором ведется счет не предоставил карты счета вклада num дата подачи документов на снятие наложение ареста date вопрос клиента причина кто наложил арест
734,причина кто наложил арест,акц комфортел num всп bankname в котором ведется счет num карты счета вклада num дата подачи документов на снятие наложение ареста date вопрос клиента причина кто наложил арест клиент не знает дату наложения ареста
735,жалоба,в г name область медвежья озера по ул юбилейная дом 13 сотрудник name name отказала в перевыпуске карты без номера карты так как не помню обратился с паспортом прошу принять меры и разъяснить ситуацию
736,претензия,добрый день повторно прошу удалить ложную информацию name моего личного кабинета о name имеющихся у меня активных кредитах мое обращение num не выполнено с уважением name name name
737,вопрос,добрый день date моим отцом был открыт счёт номер num в bankname кассе номер num name района г алма ата казахстан есть ли возможность получить доступ к bankname и перевести деньги с этого счёта
738,розыск всп,акц личный номер num адрес всп г москва проспект name num категория обслуживания клиента фл мпричина обращения в всп получить денежные средства после закрытия счета
739,bankname,здравствуйте почему на территории б name кнааз постоянно не работает bankname ещё по ул орехово закрыли bankname bankname всё меньше и меньше уже не знаем где по близости деньги снять г комсомольск на амуре
740,отключение рекламных рассылок,акц комфортел num территориальный bankname поволжский bankname телефона отправителя смс уведомления num телефона на который поступило смс num вопрос клиента отключить смс информарование у клиента нет продуктов bankname
741,жалоба,5 апреля москва овчинниковская наб num bankname заказал num рублей получил 8 купюр по num рублей name которых 7 склеено скотчем name name вопрос почему они не изъяты name оборота при загрузке bankname
742,претензия,прошу разблокировать мой личный кабинет у меня работают автоплатежи которые я не могу отключить из за заблокированного личного кабинета писала письменное обращение num ответа нет очень прошу помочь срочно
743,жалоба связана с услугой bankname онлайн,акц комфортел num регион кемеровская область населенный пункт новокузнецк вопрос клиента на сайте bankname отображать региональную сетку тарификации по потребительским кредитам и процентным ставкам
744,возврат денежных средств,04 01 num мною был совершен перевод денежных средств с карты num на карту по номеру телефона num в сумме шесть тысяч рублей прошу отменить данную операцию и вернуть денежные средства в полной сумме на мою карту
745,кредит,скажите пожалуйста выдаете ли вы кредиты иностранным гражданам у меня гражданство республика беларусь живу в питере 5 лет имею регистрацию работаю официально на постоянной работе около 3 лет хочу взять кредит для приобретения автомобиля
746,мобильный bankname,здравствуйте я нахожусь на украине с картой bankname россии могу ли я через bankname bankname россии находящийся на украе подключить мобильный bankname на россииский номер телефона если нет то как мне это можно сделать другим способом
747,вопрос,я хочу перевести деньги на счет в bankname name заграничного bankname я имею на руках реквизиты bankname счета но там нет tr может он как то по другому называется у вас без tr они не могут перевеси деньги спасибо name
748,претензия,мне на телефон звонит югорская коллекторная компания мой бывший гражданский муж иноземцевд к взял у вас кредит и не платит на каком основании вы обработали мои персональные данные прошу разобраться в name ситуации в течении 10 дней
749,жалоба на продукты услуги bankname,акц комфортел num регион республика татарстан населенный пункт г нижнитамск вопрос клиента акция от сб совершайте покупки по вашей бк и получите денежные средства на счет мобильного телефона
750,кредит,акц аудиотеле личный номер num со слов клиента name name name на нее номер телефона приходят смс с номера num адресованные другому лицу name ляшевны клиент обращалась в отделение bankname для решения этого вопроса но смс все равно поступают
751,вопрос по материальной экономической выгоде,акц комфортел num name материальной экономической выгоды num номер всп направившего уведомление тула 8 краткое содержание письма оплатить налог вопрос клиента непонятно за что num мой номер
752,не работает bankname,добрый день уже около месяца не работает bankname по адресу г москва шоссе энтузиастов д 98б магазин восьмой цокольный этаж номер bankname num просьба починить
753,причина кто наложил арест,акц комфортел num всп bankname в котором ведется счет доп офис num москва улица онежская 12 карты счета вклада num вопрос клиента причина кто наложил арест
754,розыск всп,акц омск акц num город москва у клиента оформлена карта срок действия карты num была оформлена в городе москва num на данный момент там нет офиса bankname по какому адресу можно обратиться клиенту за получением новой карты
755,благодарность,акц ик num клиент оставляет благодарность bankname о хорошем и качественном обслуживании все системы очень удобные все работает быстро bankname онлайн и терминалы оплаты стали работать быстрее и понятнее
756,жалоба,я сегодня num на одноклассниках произвел платёж сумма незначительная 20 р но платеж был произведён без подтверждения смс как это могло произойти объясните мне подобное явление в ваше обслуживании bankname
757,консультация,добрый день совершена покупка в интернет магазине с карты bankname магазин сначала заблокировпл нужную сумму а при отправке снял подскажите плиз через сколько будет снята блокировка и как можно ускорить этот процесс спасибо
758,жалоба на продукты услуги bankname,акц комфортел num регион ставропольский край населенный пункт нефтекумский р н вопрос клиента смс поступает на name name просят оплатить задолжность прошу проверить номер телефона так как данный номер пренадлежит не ей
759,консультация,здравствуйте мне нужна консультация по ипотеке могу я взять у вас ипотеку на приобретение частного дома стоимостью num р с использованием материнского капитала разъясните пожалуйста условия
760,обслуживание,акц ик num неадекватное поведение сотрудников bankname в городе клиенты находились в зоне 24 неожиданно сотрудники выгнали name помещения всех клиентов совершенно непонятно поведение сотрудников
761,неработоспособность ус,акц аудиотеле num клиент просит составить обращение по вопросу неработоспособности bankname находящего по адресу г name улица name 36а num bankname не работает вообще клиент просит починить данный bankname
762,получение информации,здравстуйте я являюсь вашим клиентом имею зарплатную карту вопрос возможен ли перевод наличных денег name германии на мой счет и могу ли я их снять в рублях какая комиссия предполагается спасибо
763,жалоба,добрый день меня зовут name обращаюсь к вам с уточнением информации потому что в подразделении забайкальского края г борзя ул name num num num информируют не верно и не консультируют клиентов по предусмотренным шагам продаж
764,жалоба,отказались выдавать потребительский кредит name за того что я отказалась брать страховку bankname находится россия алтайский край бийск улица name name num
765,bankname,прошу вас разместить один name ваших bankname с возможностью внесения и снятия наличных денег в здании торгового центра перекресток по адресу москва пролетарский проспект дом 19 спасибо
766,жалоба на продукты услуги bankname,акц комфортел num регион калининградская область населенный пункт гвардейск вопрос клиента клиенту приходят смс сообщения с просьбой оплатить чужой лицевой счет
767,отключение рекламных рассылок,акц комфортел num территориальный bankname северо западный bankname телефона отправителя смс уведомления num телефона на который поступило смс num вопрос клиента клиент желет отказаться от смс расылок рекламного характера
768,жалоба на продукты услуги bankname,акц комфортел num регион республика башкортостан населенный пункт уфа вопрос клиента просим поставить терминал в бизнес центр апрель по адресу проспект октября num
769,смс рассылка,мобильного телефона клиента в случае получения смс уведомления num телефона отправителя смс уведомления num оригинальный текст смс предодбреное предложение по кредитованию дата время поступления смс date time
770,отключение рекламных рассылок,акц комфортел num номер на который поступают звонки num номер с которого поступают звонки num вопрос клиента клиент желает чтобы ему больше не поступали звонки
771,жалоба связана с услугой bankname онлайн,акц комфортел num регион name область населенный пункт балаково вопрос клиента почему нет информации о взимании комиссии по платежу в пользу муп балаково водоканал через сбол требуется возврат комиссии
772,возврат денежных средств,добрый день можно ли ускорить возврат денежных средств на карту так как очень нуждаюсь в них товар заказывали на аллиэкспресс но отменили его еще перед отправкой
773,вопрос по материальной экономической выгоде,номер всп направившего уведомление name московское шоссе num б краткое содержание письма заплатить налог num рублей до date вопрос клиента откуда появился налог на сумму num рублей и пояснить подробнее по этому письму
774,отключение рекламных рассылок,акц комфортел num номер на который поступают звонки num номер с которого поступают звонки num вопрос клиента клиент желает отказаться от рекламных name
775,жалоба,здравствуйте я житель г михаиловска в нашем районе name num есть единственный bankname который не работает уже 4 месяца ближайший тоже не работает почему когда будет работать наш bankname
776,благодарность,name область г еаганрок name num выражаю огромною благодарность данного отделения особенно name name старший менеджер данный менеджер заслуживает премию
777,вопрос,добрый день имею ипотеку в bankname bankname с процентной ставкой 12 15 плачу 2 года name 15 хотелось бы перейти в другой bankname с меньшими процентами возможно ли рефинансирование ипотеки и какие проценты
778,жалоба на продукты услуги bankname,акц комфортел num регион город москва населенный пункт зеленоград вопрос клиента хочет ускорить на карту сб с сайта tr tr возврат суммы num руб 78 name транзакция от date
779,отключение рекламных рассылок,bankname карты кредитного договора num телефона отправителя смс уведомления num телефона на который поступило смс num вопрос клиента отключить всё рекламную рассылку смс оповещения о предварительно одобренных кредитах и т д
780,возврат денежных средств,02 04 num была внесена наличными сумма tr на карту num но денежные средства не поступили на счет терминал находится по адресу пер красный шахтер 74а прошу решить вопрос
781,отключение рекламных рассылок,акц комфортел num номер на который поступают звонки num номер с которого поступают звонки num вопрос клиента поступают звонки спрашивают знает ли клиент name name name
782,общие обращения,акц комфортел num адрес эл почты с которого поступило сообщение tr адрес эл почты на который поступило сообщение email текст письма отчеты по кк tr вопрос клиента отключить данное уведомление
783,мобильный bankname,я купил новую сим карту tr и на этот номер получил сообщение следующего содержания name name напоминаем что date платеж по кредиту и т д данные сообщения прошу отключить от моего телефона
784,смс рассылка,акц аудиотеле num клиенту поступают смс сообщения с номера num ошибочного характера о задолженности по кредиту необходимо отключить некорректную рассылку клиент обращается уже не первый раз по неправильной рассылке дата date
785,претензия,date time bankname г краснодар пос индустриальный ул name num так и не работает когда вы его почините или заправите наличными ленивые скоты разве мало вы получаете процентов по своим кредитам
786,причина кто наложил арест,акц комфортел num всп bankname в котором ведется счет name область г курган улица гоголя 98 карты счета вклада num вопрос клиента причина кто наложил арест
787,благодарность,доброго дня благодарю за решение своего вопроса по снятию кредитной заявки в личном кабинете очень признательна и всего вам хорошего с уважением name name
788,причина кто наложил арест,акц комфортел num всп bankname в котором ведется счет санкт петербург проспект name д 27 карты счета вклада num дата подачи документов на снятие наложение ареста date вопрос клиента причина кто наложил арест
789,жалоба связана с услугой мобильный bankname,акц комфортел num регион name область населенный пункт липецк вопрос клиента вы недовольны что вам поступают одинаковые смс по проведенным платежам три дня подрят дублируются одинаковые смс
790,жалоба на продукты услуги bankname,акц комфортел num регион смолененская область населенный пункт дарагабуж вопрос клиента работадатель вовремя перчесляет зарплату а bankname задерживает перечесление
791,жалоба,сегодня date в районе 14 30 при попытке входа в bankname онлайн бы ни с того ни с сего заблокирован мой name в результате я не смогла совершить важные и срочные платежи что это за безобразие
792,жалоба,3 марта num г было первичное обращение к сожалению до сих пор не рассмотрено и пришло сообщение что сроки продлеваются прошу принять меры и рассмотреть в кратчайшие сроки
793,вопрос,возможно ли внести на кредитную карту больше средств чем на ней было изначально грубо говоря кредитная карта на num тыс а внести до num тыс чтобы расплатиться по ней на большую сумму num
794,жалоба на продукты услуги bankname,акц комфортел num регион алтайский край населенный пункт село хабары вопрос клиента поступают звонки разыскивают name name name он не живёт по данному адресу другой номер клиент предоставил
795,жалоба на продукты услуги bankname,акц комфортел num регион name край населенный пункт красноярск вопрос клиента вносил денежные средства на свою дебетовую через операционно кассового работаника сроки зачисления вышли денежные средства не поступили
796,неработоспособность ус,акц аудотеле num со слов клиета с ноября не работает функция приёма наличных г уфа ул меделеева num не работает 2 bankname номер отделения в котором расположены bankname num
797,статус исполнительного документа,акц комфортел num всп bankname в котором ведется счет tr карты счета вклада num дата подачи документов на снятие наложение ареста date вопрос клиента статус исполнительного документа
798,получение информации,здравствуйте нахожусь в тайланде нужно узнать историю операций за последнюю неделю мобильный bankname подключен на другой номер по этому в личный кабинет зайти не могу
799,консультация,добрый день взяли ипотеку в bankname ипотека оформлена на жену ипотеку брали на строящееся жильё срок сдачи дома переносят name месяца в месяц можно ли нам переделать ипотечный договор и взять другое жильё в эту же сумму или дороже
800,смс рассылка,акц аудиотеле акц num на мой номер телефона num поступают смс сообщения на имя другого человека name name о входе в личный кабинет сбол я услугами bankname не пользуюсь прошу проверить данную информацию
801,bankname,вчера ездила по всему городу чтобы найти bankname на приём 12 name ночи ездить одной с большой суммой денег думаю не очень безопасно что происходит с bankname в махачкале
802,жалоба на недозвон в урпзфл,акц комфортел num номер телефона на который обращался клиент num номер телефона с которого звонил клиент num вопрос клиента вопрос по рестуктуризации ответ предоставить по телефону num
803,жалоба,ао секвойя кредит консолидейшн ровно месяц с date звонят и не отвечают когда я принимаю вызов звонят и пишут смс в день по 20раз date num я написала заявление по не зачислению на ссудный счет в ноябре num суммы num рублей num
804,жалоба связана с услугой мобильный bankname,акц комфортел num регион город москва населенный пункт москва вопрос клиента клиент совершал операцию в time смс поступает клиенту о совершенной операции но в смс время указано time
805,отключение рекламных рассылок,акц комфортел num номер на который поступают звонки num номер с которого поступают звонки num вопрос клиента клиент не желает получать звонки и смс рассылки от bankname
806,неработоспособность ус,акц ик num не работает bankname по адресу name область мценск микрорайон коммаш дом 12 num последняя попытка проведения операции date time не берет штрих код с квитанции на оплату коммунальных услуг
807,статус исполнительного документа,акц комфортел num всп bankname в котором ведется счет город москва ул name 19 карты счета вклада num дата подачи документов на снятие наложение ареста date вопрос клиента статус исполнительного документа
808,отключение рекламных рассылок,акц комфортел num номер на который поступают звонки num номер с которого поступают звонки num вопрос клиента звонки поступают в неудобное время клиент желает полностью от них отказаться
809,жалоба на продукты услуги bankname,акц комфортел num регион удмуртская республика населенный пункт ува вопрос клиента клиент обратился в всп третий раз по вопросу кредитования и третий раз получил отказ в кредитовинии по какой пречине отказ
810,многозвонящий клиент,акц комфортел num многозвонящий клиент екатеринбург пытался получить по доверенности денежные средства и потратил два часа кое как получил денежные стредства желаете связались со мной сотрудники bankname
811,благодарность,хочу сказать огромное спасибо администратору отделения 6 г грозного name name за доброжелательное чуткое отношение к клиентам bankname за отзывчивость и знание своей работы побольше бы таких сотрудников желаю ему name на его поприще
812,консультация,добрый день возможно ли оформить личному подсобному хозяйству ипотеку на приобретение вторичного жилья какие требования к заемщикам и в какой именно офис в г уфе можно обратиться по данному вопросу с ув name
813,жалоба на продукты услуги bankname,акц комфортел num регион город москва населенный пункт москва вопрос клиента претензия на то что в городе москва на район и рядом ближашие нету не одного отделения которое работает в воскресенье
814,отключение рекламных рассылок,акц комфортел num территориальный bankname name bankname телефона отправителя смс уведомления num телефона на который поступило смс num вопрос клиента клиент просит чтобы прекратили смс рассылки
815,не работает bankname,акц ик num г москва у ст м электрозаводская в р не бакунинской не работает ни один ус на прием наличных денег дату и время попытки проведения tr в 23 32 мск
816,жалоба,клиент жалуется на не выносимый запах который исходит от терминала данный терминал находится в кабинке в этой кабинке проживает женщина терминал находится по адресу город южном сахалинске улица сахалинская 2 на остановке
817,ипотека,здраствуйте я оформил ипотеку основной заёмщик хочу зделать собственика одного мою жену она созаёмщик первоначальный взнос семейнный капитал покупаю готовое жильё квартиру на вторичном рынке ипотеку буду платить я её муж
818,жалоба,добрый день нижний новгород отделение по работе с должниками отказывают в приеме документов по постановлению num говорят что у них запись уже полная осталось три дня что нам делать прошу посодействовать в решении вопроса спасибо
819,жалоба,на номер num смс сообщение на другого клиента все его приходные расходные операции номер карты num дата и время операции это не моя карта возможно кто то ошибочно указал мой номер прошу принять меры и удалить с моих данных информацию про третье лицо
820,претензии на доп офис,акц комфортел num субъект федерации name область населенный пункт г мытищи улица проспект новомытищинский дом 82 дата и время произошедшей ситуации обращения в всп date
821,причина кто наложил арест,акц комфортел num всп bankname в котором ведется счет г ноябрьск ул советская карты счета вклада num дата подачи документов на снятие наложение ареста date вопрос клиента причина кто наложил арест
822,общие обращения,акц комфортел num адрес эл почты с которого поступило сообщение email адрес эл почты на который поступило сообщение email вопрос клиента клиенту приходят смс уведомления на tr отчеты по карте 3 го лица
823,жалоба,клиент жалуется на сотрудника bankname по адресу name область ногинский район поселок воровского улица name 12 клиент хотел сделать перевод но сотрудник отказала
824,благодарность,акц аудиотеле num клиент хочет выразить благодарность сотрудникам кц которые принимали заявку и консультировали клиента по вопросу не выдачи дс клиенту с bankname сотрудницы были вежливы компитетны вопрос решился быстро
825,жалоба,15 марта в time я зашел в отделение по адресу г липецк ул первомайская 66 ни один bankname не работал на прием денег это уже не первый случай пожалуйста примите меры
826,жалоба,жалоба до настоящего времени не получила ответа на жалобу датированную num от date в отделении bankname на вешняковской 39 стр 2 как наказана name в письменном виде на почтовый адрес жду ответ
827,вопрос,здравствуйте пытался оплатить счет в интернете через свою карту но name подтверждения не приходит выяснилось что в услуге мне отказано bankname без объяснения причин скажите пожалуйста почему такое происходит
828,благодарность,добрый день хотел бы выразить огромную благодарность всем кто участвовал в реализации функционала подписки на автоматическую рассылку выписки по кк информативно иллюстрированно наглядно и главное понятно спасибо
829,мобильный bankname,я name name name прошу рассмотреть мою ситуацию с моей карты num ежемесячно происходила оплата мобильного bankname в размере 60 рублей но смс с номера num я не получала
830,жалоба на продукты услуги bankname,акц комфортел num регион удмуртская республика населенный пункт г ижевск вопрос клиента клиент подал на сайте bankname заявку на выпуск карты tr tr желает отменить выпуск карты
